datetime,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
,,,,,,,,,,,,,,,,,,,,,,
01-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
02-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
03-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
04-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
05-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
06-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
07-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
08-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
09-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
10-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
11-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
12-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
13-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
14-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
15-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
16-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
17-09-2016T20:00:00-0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
18-09-2016T20:00:00-0800,-9999,2,3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
19-09-2016T20:00:00-0800,-9999,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,,,,
20-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
21-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
22-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
23-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
24-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
25-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
26-09-2016T20:00:00-0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0
,,,,,,,,,,,,,,,,,,,,,,
27-09-2016T20:00:00-0800,7,6,9,7,8,8,7,7,7,5,3,5,11,13,15,14,19,27,25,-9999,25,-9999
,,,,,,,,,,,,,,,,,,,,,,
28-09-2016T20:00:00-0800,-9999,3,6,6,5,1,4,5,0,0,1,3,8,9,12,9,6,22,13,-9999,19,19
,,,,,,,,,,,,,,,,,,,,,,
29-09-2016T20:00:00-0800,4,0,3,5,4,0,4,3,0,0,0,0,7,8,11,7,6,21,7,-9999,14,17
,,,,,,,,,,,,,,,,,,,,,,
30-09-2016T20:00:00-0800,3,0,0,4,2,0,2,0,0,0,1,0,7,7,8,5,0,19,7,-9999,13,17
,,,,,,,,,,,,,,,,,,,,,,
01-10-2016T20:00:00-0800,3,0,0,2,1,0,0,0,0,0,1,0,5,6,5,2,0,17,3,-9999,13,16
,,,,,,,,,,,,,,,,,,,,,,
02-10-2016T20:00:00-0800,2,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,-9999,2,-9999,11,15
,,,,,,,,,,,,,,,,,,,,,,
03-10-2016T20:00:00-0800,3,2,4,4,4,4,2,3,0,0,1,1,7,6,3,1,1,-9999,1,-9999,11,13
,,,,,,,,,,,,,,,,,,,,,,
04-10-2016T20:00:00-0800,4,1,3,4,3,0,2,2,0,0,1,0,8,6,2,1,0,12,0,-9999,11,13
,,,,,,,,,,,,,,,,,,,,,,
05-10-2016T20:00:00-0800,-9999,-9999,2,3,3,0,2,0,0,0,1,0,8,6,2,1,0,12,0,-9999,11,12
,,,,,,,,,,,,,,,,,,,,,,
06-10-2016T20:00:00-0800,4,0,1,2,3,0,2,0,0,0,1,0,8,6,2,1,0,11,0,-9999,10,12
,,,,,,,,,,,,,,,,,,,,,,
07-10-2016T20:00:00-0800,4,0,0,2,2,0,1,0,0,0,1,0,8,6,0,0,0,11,0,-9999,10,12
,,,,,,,,,,,,,,,,,,,,,,
08-10-2016T20:00:00-0800,4,0,0,2,1,0,1,0,0,0,0,0,7,5,0,0,0,0,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
09-10-2016T20:00:00-0800,4,0,0,1,1,0,0,0,0,0,0,0,6,5,0,0,0,11,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
10-10-2016T20:00:00-0800,3,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,-9999,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
11-10-2016T20:00:00-0800,2,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,10,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
12-10-2016T20:00:00-0800,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,11,5,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
13-10-2016T20:00:00-0800,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
14-10-2016T20:00:00-0800,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
15-10-2016T20:00:00-0800,-9999,3,-9999,3,-9999,2,1,2,-9999,0,-9999,2,-9999,-9999,2,3,2,11,0,-9999,9,12
,,,,,,,,,,,,,,,,,,,,,,
