Camera,Date&Time,Longitude,Latitude,UTM WGS84 Northing (meters),UTM WGS84 Easting (meters),snowdepth_cm,Snow Depth (cm) (neg),Pole Length (pixels),errorcodes,image_filename
W1B,9/29/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,9/29/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,9/30/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,9/30/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/1/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/1/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/2/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/2/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/3/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/3/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1220,0,
W1B,10/4/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/4/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/5/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/5/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/6/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,10/6/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,10/7/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/7/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/8/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/8/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/9/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/9/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/10/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/10/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/11/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/11/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/12/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/12/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/13/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/13/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/14/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/14/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/15/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/15/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/16/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,10/16/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/17/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/17/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/18/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/18/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/19/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,10/19/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/20/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,10/20/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/21/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/21/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/22/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/22/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/23/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,10/23/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/24/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-7,1249,0,
W1B,10/24/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/25/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,10/25/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/26/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/26/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/27/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,10/27/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/28/19 11:00,39.008078,-108.184794,4321444.15,743766.48,3,3,1207,0,
W1B,10/28/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,10/29/19 11:00,39.008078,-108.184794,4321444.15,743766.48,3,3,1207,0,
W1B,10/29/19 12:00,39.008078,-108.184794,4321444.15,743766.48,3,3,1207,0,
W1B,10/30/19 11:00,39.008078,-108.184794,4321444.15,743766.48,5,5,1201,0,
W1B,10/30/19 12:00,39.008078,-108.184794,4321444.15,743766.48,5,5,1201,0,
W1B,10/31/19 11:00,39.008078,-108.184794,4321444.15,743766.48,3,3,1207,0,
W1B,10/31/19 12:00,39.008078,-108.184794,4321444.15,743766.48,6,6,1195,0,
W1B,11/1/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/1/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,11/2/19 11:00,39.008078,-108.184794,4321444.15,743766.48,2,2,1213,0,
W1B,11/2/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,11/3/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/3/19 12:00,39.008078,-108.184794,4321444.15,743766.48,3,3,1207,0,
W1B,11/4/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,11/4/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/5/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/5/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/6/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/6/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/7/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/7/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/8/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/8/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/9/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/9/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/10/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/10/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-7,1249,0,
W1B,11/11/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-7,1249,0,
W1B,11/11/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,11/12/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1220,0,
W1B,11/12/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/13/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/13/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/14/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1221,0,
W1B,11/14/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/15/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/15/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/16/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/16/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-6,1243,0,
W1B,11/17/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-1,1225,0,
W1B,11/17/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/18/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/18/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-4,1237,0,
W1B,11/19/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-3,1231,0,
W1B,11/19/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,0,1219,0,
W1B,11/20/19 11:00,39.008078,-108.184794,4321444.15,743766.48,6,6,1195,0,
W1B,11/20/19 12:00,39.008078,-108.184794,4321444.15,743766.48,6,6,1195,0,
W1B,11/21/19 11:00,39.008078,-108.184794,4321444.15,743766.48,15,15,1159,0,
W1B,11/21/19 12:00,39.008078,-108.184794,4321444.15,743766.48,14,14,1165,0,
W1B,11/22/19 11:00,39.008078,-108.184794,4321444.15,743766.48,27,27,1111,0,
W1B,11/22/19 12:00,39.008078,-108.184794,4321444.15,743766.48,24,24,1123,0,
W1B,11/23/19 11:00,39.008078,-108.184794,4321444.15,743766.48,23,23,1129,0,
W1B,11/23/19 12:00,39.008078,-108.184794,4321444.15,743766.48,21,21,1135,0,
W1B,11/24/19 11:00,39.008078,-108.184794,4321444.15,743766.48,24,24,1123,0,
W1B,11/24/19 12:00,39.008078,-108.184794,4321444.15,743766.48,21,21,1135,0,
W1B,11/25/19 11:00,39.008078,-108.184794,4321444.15,743766.48,23,23,1129,0,
W1B,11/25/19 12:00,39.008078,-108.184794,4321444.15,743766.48,18,18,1147,0,
W1B,11/26/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-415,3001,1,
W1B,11/26/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-305,2539,1,
W1B,11/27/19 11:00,39.008078,-108.184794,4321444.15,743766.48,15,15,1159,0,
W1B,11/27/19 12:00,39.008078,-108.184794,4321444.15,743766.48,15,15,1159,0,
W1B,11/28/19 11:00,39.008078,-108.184794,4321444.15,743766.48,8,8,1189,0,
W1B,11/28/19 12:00,39.008078,-108.184794,4321444.15,743766.48,6,6,1195,0,
W1B,11/29/19 11:00,39.008078,-108.184794,4321444.15,743766.48,2,2,1213,0,
W1B,11/29/19 12:00,39.008078,-108.184794,4321444.15,743766.48,8,8,1189,0,
W1B,11/30/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-359,2767,1,
W1B,11/30/19 12:00,39.008078,-108.184794,4321444.15,743766.48,0,-302,2527,1,
W1B,12/1/19 11:00,39.008078,-108.184794,4321444.15,743766.48,20,20,1141,0,
W1B,12/1/19 12:00,39.008078,-108.184794,4321444.15,743766.48,17,17,1153,0,
W1B,12/2/19 11:00,39.008078,-108.184794,4321444.15,743766.48,12,12,1171,0,
W1B,12/2/19 12:00,39.008078,-108.184794,4321444.15,743766.48,6,6,1195,0,
W1B,12/3/19 11:00,39.008078,-108.184794,4321444.15,743766.48,0,-345,2707,1,
W1B,12/3/19 12:00,39.008078,-108.184794,4321444.15,743766.48,9,9,1183,0,
